product_id,product_name,order_id,date,seller,daily_target,sales target,income,highlited sale
141,product_141,483979,2020-07-07,7_seller_7,1946998,0.0010272224213892362,2060,N
170,product_170,6978441,2020-07-06,8_seller_8,547320,0.012972301395892713,7668,Y
188,product_188,481134,2020-07-07,5_seller_5,1199693,0.0037509596205029124,4680,Y
189,product_189,2994023,2020-07-03,2_seller_2,754188,0.011402992357343262,9288,Y
369,product_369,10480295,2020-07-03,6_seller_6,1055915,0.002083501039382905,528,N
442,product_442,12479439,2020-07-05,3_seller_3,310462,0.015138728733307134,1222,N
452,product_452,4488988,2020-07-01,3_seller_3,310462,0.014172426899266254,4620,Y
534,product_534,14489211,2020-07-05,8_seller_8,547320,0.009318131988598991,7344,Y
707,product_707,5485676,2020-07-03,2_seller_2,754188,0.005834089113059343,5412,Y
712,product_712,1475177,2020-07-07,8_seller_8,547320,0.01827084703646861,4600,Y
765,product_765,19977925,2020-07-09,7_seller_7,1946998,0.004776584259459948,2139,N
816,product_816,14498604,2020-07-09,5_seller_5,1199693,0.007751983215706018,3906,N
888,product_888,1976134,2020-07-04,6_seller_6,1055915,0.002178205632082128,1771,N
907,product_907,5480854,2020-07-08,8_seller_8,547320,0.012058759044069283,5676,Y
1037,product_1037,16489317,2020-07-05,8_seller_8,547320,0.01077979975151648,4779,Y
1044,product_1044,8976033,2020-07-04,5_seller_5,1199693,0.0073352099245390275,10120,Y
1216,product_1216,7491127,2020-07-09,3_seller_3,310462,0.014816628121960175,782,N
1368,product_1368,16498017,2020-07-08,8_seller_8,547320,0.012058759044069283,3762,N
1387,product_1387,2995807,2020-07-02,4_seller_4,1532808,0.003392466636395426,7800,Y
1513,product_1513,14999109,2020-07-04,4_seller_4,1532808,0.002087671776243339,3872,N
1535,product_1535,3977779,2020-07-03,7_seller_7,1946998,0.0020030837217090104,3003,N
1593,product_1593,7988361,2020-07-04,2_seller_2,754188,0.012331142898057246,2883,N
1650,product_1650,14986735,2020-07-09,6_seller_6,1055915,0.004545820449562701,3024,N
1696,product_1696,4478769,2020-07-08,1_seller_1,257237,0.038874656445223664,1900,N
1818,product_1818,9487094,2020-07-08,7_seller_7,1946998,0.002311250448125781,2250,N
1836,product_1836,14994407,2020-07-09,5_seller_5,1199693,0.0024172850887685432,4350,Y
1843,product_1843,19984645,2020-07-08,1_seller_1,257237,0.030710978591726695,11297,Y
1869,product_1869,17978947,2020-07-07,9_seller_9,1318051,0.006373046263004998,2604,N
1941,product_1941,19993382,2020-07-03,8_seller_8,547320,0.016626470803186435,12649,Y
1943,product_1943,10485989,2020-07-08,3_seller_3,310462,0.022547042794287223,2520,N
1967,product_1967,481888,2020-07-05,6_seller_6,1055915,0.0011364551123906753,936,N
1995,product_1995,6488327,2020-07-03,5_seller_5,1199693,0.0016670931646679608,1500,N
2143,product_2143,10984845,2020-07-10,2_seller_2,754188,0.008883726603976728,5695,Y
2157,product_2157,982865,2020-07-03,6_seller_6,1055915,0.008902231713726958,7802,Y
2164,product_2164,6977429,2020-07-09,2_seller_2,754188,1.3259293438771234E-4,148,N
2237,product_2237,4998931,2020-07-09,2_seller_2,754188,0.0018563010814279727,1512,N
2307,product_2307,8990824,2020-07-10,6_seller_6,1055915,0.006250503118148715,8052,Y
2335,product_2335,18976218,2020-07-09,2_seller_2,754188,0.005038531506733069,3154,N
2337,product_2337,7994904,2020-07-03,4_seller_4,1532808,0.0017614730612053172,3186,N
2361,product_2361,8995188,2020-07-03,5_seller_5,1199693,0.002083866455834951,450,N
2430,product_2430,17494128,2020-07-08,6_seller_6,1055915,0.006250503118148715,2310,N
2570,product_2570,14499886,2020-07-06,2_seller_2,754188,0.005966682047447056,540,N
2601,product_2601,16486976,2020-07-04,4_seller_4,1532808,0.005153939697600743,1343,N
2633,product_2633,7479516,2020-07-01,6_seller_6,1055915,0.007765776601336281,3854,N
2640,product_2640,11986998,2020-07-09,6_seller_6,1055915,0.0060610939327502686,9280,Y
2656,product_2656,1992949,2020-07-09,8_seller_8,547320,1.827084703646861E-4,74,N
2744,product_2744,7479106,2020-07-09,8_seller_8,547320,0.017357304684645178,1330,N
2789,product_2789,1995346,2020-07-02,9_seller_9,1318051,0.0028830447380260703,1102,N
2865,product_2865,14991511,2020-07-08,5_seller_5,1199693,0.004334442228136698,1768,N
2867,product_2867,985354,2020-07-07,7_seller_7,1946998,8.21777937111389E-4,752,N
2895,product_2895,15493903,2020-07-07,3_seller_3,310462,0.02866695440987947,11392,Y
2907,product_2907,2981557,2020-07-03,5_seller_5,1199693,0.0058348260763378635,1120,N
2957,product_2957,4492357,2020-07-02,6_seller_6,1055915,0.004451115856863479,7050,Y
2999,product_2999,15491299,2020-07-04,7_seller_7,1946998,0.002619417174542552,7191,Y
2999,product_2999,475974,2020-07-10,8_seller_8,547320,0.012241467514433968,9447,Y
3021,product_3021,5480339,2020-07-06,8_seller_8,547320,0.016626470803186435,13377,Y
3040,product_3040,16479754,2020-07-01,2_seller_2,754188,0.011668178226118686,4488,Y
3048,product_3048,17476056,2020-07-08,5_seller_5,1199693,0.0016670931646679608,1220,N
3195,product_3195,9975863,2020-07-04,7_seller_7,1946998,0.0038520840802096354,7200,Y
3315,product_3315,14988906,2020-07-07,9_seller_9,1318051,0.0061454374678976765,10206,Y
3339,product_3339,15977294,2020-07-08,1_seller_1,257237,0.02526852668939538,5265,Y
3375,product_3375,13495051,2020-07-06,1_seller_1,257237,0.0116623969335671,3450,N
3434,product_3434,5980540,2020-07-03,3_seller_3,310462,0.01803763423542978,4760,Y
3481,product_3481,10988614,2020-07-06,3_seller_3,310462,0.02802275318718555,348,N
3575,product_3575,9491142,2020-07-04,6_seller_6,1055915,0.001988796446683682,966,N
3594,product_3594,15498781,2020-07-09,1_seller_1,257237,0.024102286996038672,2790,N
